"","equity.precios.diarios","equity.retornos.diarios","market.precios.diarios","market.retornos.diarios","riskfree.retornos.diarios"
"2012-02-09",479.63,0.0345934379457917,1351.95,0.00147411775163708,0.0205
"2012-02-10",479.88,0.000506924589898095,1342.64,-0.00688634934723908,0.0197
"2012-02-13",488.81,0.0186048396903247,1351.77,0.00680003575046162,0.0199
"2012-02-14",495.48,0.0136490250696377,1350.5,-0.000939508940130285,0.0192
"2012-02-15",484.01,-0.0231421505123071,1343.23,-0.00538319141058863,0.0193
"2012-02-16",488.43,0.00912251090079774,1358.04,0.0110256620236295,0.0199
"2012-02-17",488.34,-0.000179207901077172,1361.23,0.0023489735206621,0.0201
"2012-02-21",500.72,0.0253525053772008,1362.21,0.000719937115696956,0.0205
"2012-02-22",498.96,-0.00351558706419353,1357.66,-0.00334016047452301,0.0201
"2012-02-23",502.22,0.0065297052861375,1363.46,0.00427205633221872,0.0198
"2012-02-24",508.07,0.0116578554968143,1365.74,0.00167221627330472,0.0198
"2012-02-27",511.33,0.00641258781416898,1367.59,0.00135457700587227,0.0192
"2012-02-28",520.71,0.0183543822276324,1372.18,0.00335626905724684,0.0193
"2012-02-29",527.55,0.0131301245774269,1365.68,-0.00473698785873577,0.0198
"2012-03-01",529.53,0.00374234938426365,1374.09,0.00615810438755782,0.0204
"2012-03-02",530.22,0.00130402042353106,1369.63,-0.0032457844828212,0.0199
"2012-03-05",518.53,-0.0220477640412341,1364.33,-0.00386965822886487,0.0201
"2012-03-06",515.71,-0.00543926776202264,1343.36,-0.0153701817009082,0.0194
"2012-03-07",516.12,0.000810922943461856,1352.63,0.00690060743211074,0.0197
"2012-03-08",527.11,0.0212930335977688,1365.91,0.0098179102932805,0.0201
"2012-03-09",530.21,0.00586726692374384,1370.87,0.00363127878117875,0.0204
"2012-03-12",536.85,0.012528202212154,1371.09,0.000160482029660125,0.0203
"2012-03-13",552.51,0.0291666666666668,1395.95,0.0181315595621003,0.0211
"2012-03-14",573.4,0.0378102446752333,1394.28,-0.00119631791969632,0.0227
"2012-03-15",569.49,-0.00681841310763609,1402.6,0.00596723757064566,0.0228
"2012-03-16",569.5,1.70776692398622e-05,1404.17,0.00111934977898209,0.023
"2012-03-19",584.6,0.0265211674095325,1409.75,0.00397387780681813,0.0238
"2012-03-20",589.33,0.00808517717517887,1405.52,-0.00300053200922146,0.0237
"2012-03-21",585.96,-0.00570994785134338,1402.89,-0.00187119357960031,0.0229
"2012-03-22",582.89,-0.0052448132780083,1392.78,-0.00720655218869626,0.0228
"2012-03-23",579.69,-0.00548937164213981,1397.11,0.00310889013340221,0.0224
"2012-03-26",590.32,0.0183373878030368,1416.51,0.0138858071304335,0.0224
"2012-03-27",597.61,0.0123562555603149,1412.52,-0.00281678209119596,0.0219
"2012-03-28",600.67,0.00511001171722425,1405.54,-0.00494152295188743,0.022
"2012-03-29",593.12,-0.0125643599624364,1403.28,-0.0016079229335344,0.0216
"2012-03-30",583.09,-0.0169055192995115,1408.47,0.00369847785188981,0.0222
"2012-04-02",601.65,0.0318238679009257,1419.04,0.00750459718701846,0.0219
"2012-04-03",612.05,0.0172801189725684,1413.38,-0.00398861201939327,0.0228
"2012-04-04",607.17,-0.00796097374944404,1398.96,-0.0102024933139001,0.0224
"2012-04-05",616.29,0.0150085694606845,1398.08,-0.000629038714473729,0.0217
"2012-04-09",618.77,0.00402411311703088,1382.2,-0.0113584344243534,0.0204
"2012-04-10",611.19,-0.0122439998113889,1358.59,-0.0170814643322241,0.0199
"2012-04-11",609.01,-0.00356438164343453,1368.71,0.0074488992264039,0.0203
"2012-04-12",605.68,-0.00547748323219432,1387.57,0.013779398119397,0.0205
"2012-04-13",588.62,-0.0281644909035438,1370.26,-0.0124750463039702,0.02
"2012-04-16",564.21,-0.041471837152818,1369.57,-0.000503554070030554,0.0197
"2012-04-17",592.97,0.0509713340113425,1390.78,0.0154866125864324,0.0201
"2012-04-18",591.64,-0.00223060521567986,1385.14,-0.00405527833302166,0.0198
"2012-04-19",571.32,-0.0343557878817766,1376.92,-0.00593441818155571,0.0195
"2012-04-20",557.25,-0.0246152798583685,1378.53,0.00116927635592479,0.0197
"2012-04-23",556.01,-0.00223393486683654,1366.94,-0.00840750654682876,0.0193
"2012-04-24",544.9,-0.019975511631975,1371.97,0.00367975185450709,0.0196
"2012-04-25",593.26,0.0887413436139073,1390.69,0.0136446132204058,0.0198
"2012-04-26",591.02,-0.0037704918032786,1399.98,0.00668013719808158,0.0196
"2012-04-27",586.45,-0.00773407931545178,1403.36,0.00241432020457433,0.0193
"2012-04-30",567.95,-0.0315422885572139,1397.91,-0.00388353665488528,0.0191
"2012-05-01",566.15,-0.00316791670947636,1405.82,0.00565844725339959,0.0196
"2012-05-02",569.9,0.00661364300070444,1402.31,-0.00249676345478078,0.0192
"2012-05-03",565.85,-0.00709921840335848,1391.57,-0.00765879156534577,0.0192
"2012-05-04",549.74,-0.0284795985012548,1369.1,-0.0161472293883886,0.0188
"2012-05-07",553.85,0.00748341441839906,1369.58,0.000350595281571886,0.0188
"2012-05-08",552.59,-0.00228278429444417,1363.72,-0.00427868397610942,0.0184
"2012-05-09",553.56,0.00176000563201795,1354.58,-0.00670225559499027,0.0184
"2012-05-10",554.86,0.002354264028954,1357.99,0.00251738546265279,0.0188
"2012-05-11",551.16,-0.0066781182079505,1353.39,-0.00338735925890465,0.0184
"2012-05-14",542.9,-0.0149812073194403,1338.35,-0.0111128351768524,0.0179
"2012-05-15",537.99,-0.00904661244670568,1330.66,-0.00574588112227725,0.0178
"2012-05-16",531.09,-0.0128170363541044,1324.8,-0.0044038296785055,0.0176
"2012-05-17",515.57,-0.0292264869616174,1304.86,-0.0150513285024155,0.017
"2012-05-18",515.82,0.00049045499132272,1295.22,-0.00738776573732036,0.017
"2012-05-21",545.87,0.0582601153889664,1315.99,0.0160358857954632,0.0174
"2012-05-22",541.68,-0.00767887685290758,1316.63,0.000486325883935379,0.0179
"2012-05-23",554.9,0.0243998779108388,1318.86,0.00169371805290774,0.0172
"2012-05-24",549.8,-0.00918395961862017,1320.68,0.00137997967942027,0.0176
"2012-05-25",546.86,-0.0053597962216092,1317.82,-0.00216555107974692,0.0175
"2012-05-29",556.56,0.0177488484589803,1332.42,0.0110789030368337,0.0173
"2012-05-30",563.27,0.0120572457056982,1313.32,-0.0143348193512557,0.0162
"2012-05-31",561.87,-0.00248631662551568,1310.33,-0.00227667285962296,0.0158
"2012-06-01",545.59,-0.0289754729718035,1278.04,-0.0246426472720612,0.0147
"2012-06-04",548.8,0.00588245779782159,1278.18,0.000109542737316559,0.0153
"2012-06-05",547.38,-0.00258732212160395,1285.5,0.00572689292587891,0.0156
"2012-06-06",555.78,0.0153332267292077,1315.13,0.0230493971217427,0.0165
"2012-06-07",556.03,0.000454974976376255,1314.99,-0.000106453354421276,0.0165
"2012-06-08",564.39,0.0150423284125096,1325.66,0.00811413014547635,0.0164
"2012-06-11",555.49,-0.0157671629445825,1308.93,-0.0126201288414828,0.016
"2012-06-12",560.35,0.00873645324509331,1324.18,0.0116507376253887,0.0166
"2012-06-13",556.46,-0.00694251596778672,1314.88,-0.0070232143666269,0.016
"2012-06-14",555.84,-0.00110109060402686,1329.1,0.0108146751034313,0.0161
"2012-06-15",558.37,0.00454919251832808,1342.84,0.0103378225867128,0.0159
"2012-06-18",569.7,0.0202915715952832,1344.78,0.00144469929403357,0.0158
"2012-06-19",571.29,0.00278261463348017,1357.98,0.00981573194128416,0.0162
"2012-06-20",569.66,-0.00284298871316446,1355.69,-0.00168632822280146,0.0164
"2012-06-21",561.81,-0.0137774439170965,1325.51,-0.0222617265008963,0.0162
"2012-06-22",566.12,0.00766873820693492,1335.02,0.00717459694759004,0.0167
"2012-06-25",555.1,-0.0194640096203402,1313.72,-0.0159548171562972,0.0161
"2012-06-26",556.33,0.00220754419468427,1319.99,0.00477270651280337,0.0163
"2012-06-27",558.73,0.00431795535199209,1331.85,0.00898491655239808,0.0162
"2012-06-28",553.43,-0.00948651000870326,1329.04,-0.0021098472050155,0.0158
"2012-06-29",567.97,0.0262718566031106,1362.16,0.0249202431830495,0.0166
"2012-07-02",576.26,0.0145890410958904,1365.51,0.00245932930052262,0.0158
"2012-07-03",582.96,0.0116282994666848,1374.02,0.00623210375610572,0.0163
"2012-07-05",593.2,0.0175672744865787,1367.58,-0.00468697689989961,0.016
"2012-07-06",589.25,-0.00665639243204263,1354.68,-0.00943272057210542,0.0154
"2012-07-09",597.04,0.0132204396910278,1352.46,-0.00163876339799807,0.0151
"2012-07-10",591.52,-0.00925247194122714,1341.47,-0.00812593348416957,0.015
"2012-07-11",587.84,-0.00621495864915089,1341.45,-1.49090177193889e-05,0.015
"2012-07-12",582.46,-0.00914911569577948,1334.76,-0.00498714078049878,0.0148
"2012-07-13",588.37,0.0101352479545835,1356.78,0.0164973478378134,0.015
"2012-07-16",590.25,0.00320677058366514,1353.64,-0.00231430298206037,0.0146
"2012-07-17",590.28,4.94307228420254e-05,1363.67,0.00740965101504099,0.015
"2012-07-18",589.62,-0.00112037433683732,1372.78,0.00668050188095348,0.0148
"2012-07-19",597.46,0.0132946260680238,1376.51,0.00271711417707143,0.0151
"2012-07-20",587.71,-0.0163107175413467,1362.66,-0.0100616777211934,0.0146
"2012-07-23",587.26,-0.000777759391030752,1350.52,-0.00890904554327576,0.0143
"2012-07-24",584.43,-0.00481923720252397,1338.31,-0.00904096199982229,0.014
"2012-07-25",559.19,-0.0431837848632096,1337.89,-0.000313828634621149,0.0141
"2012-07-26",559.1,-0.000156529905908198,1360.02,0.0165409712308187,0.0143
"2012-07-27",569.1,0.0178819927637071,1385.97,0.0190806017558565,0.0155
"2012-07-30",578.7,0.0168671816255384,1385.3,-0.000483415946954224,0.015
"2012-07-31",594,0.0264356419004084,1379.32,-0.00431675449361146,0.0149
"2012-08-01",590.15,-0.00646735215141803,1375.32,-0.00289997970014211,0.0154
"2012-08-02",591.11,0.0016150030487303,1365,-0.00750370822790325,0.0148
"2012-08-03",598.8,0.0130143635137137,1390.99,0.0190402930402931,0.0158
"2012-08-06",605.46,0.0111255481565695,1394.23,0.00232927627085755,0.0156
"2012-08-07",603.87,-0.00263432656011564,1401.35,0.0051067614382132,0.0163
"2012-08-08",602.85,-0.00169106633811655,1402.22,0.000620829914011578,0.0164
"2012-08-09",606.28,0.0014035427354564,1402.8,0.000413629815578131,0.0169
"2012-08-10",607.23,0.00156267620382455,1405.87,0.00218848018249207,0.0165
"2012-08-13",615.34,0.0133504905903168,1404.11,-0.00125189384509239,0.0165
"2012-08-14",616.99,0.00268253968253984,1403.93,-0.000128195084430627,0.0173
"2012-08-15",616.15,-0.00136142728236954,1405.53,0.00113965796015458,0.018
"2012-08-16",621.53,0.00873452435679978,1415.51,0.00710052435735986,0.0184
"2012-08-17",633.03,0.0184964012949052,1418.16,0.00187211676356935,0.0182
"2012-08-20",649.67,0.026291833176467,1418.13,-2.11541716026442e-05,0.0181
"2012-08-21",640.79,-0.013666090355559,1413.17,-0.00349756369303245,0.018
"2012-08-22",653.3,0.0195256531414811,1413.49,0.000226441263259103,0.0172
"2012-08-23",647.21,-0.00932916710272547,1402.08,-0.00807221840975181,0.0167
"2012-08-24",647.79,0.000890391319439354,1411.13,0.00645469588040637,0.0168
"2012-08-27",659.96,0.0187871294593045,1410.44,-0.000488969832687314,0.0165
"2012-08-28",659.1,-0.00130239166469337,1409.3,-0.000808258415813556,0.0163
"2012-08-29",657.8,-0.00197095435684636,1410.49,0.000844390832328124,0.0165
"2012-08-30",648.42,-0.0142545324958796,1399.48,-0.0078057979850974,0.0162
"2012-08-31",649.76,0.00206365704128819,1406.58,0.00507331294480795,0.0156
"2012-09-04",659.26,0.0146263002826048,1404.94,-0.00116594861294761,0.0158
"2012-09-05",654.63,-0.00702253433485933,1403.44,-0.00106766125243785,0.0159
"2012-09-06",660.53,0.00901183175924669,1432.12,0.0204355013395656,0.0167
"2012-09-07",664.61,0.00616617623138693,1437.92,0.00404993994916647,0.0166
"2012-09-10",647.32,-0.0260125800952326,1429.08,-0.00614776899966629,0.0168
"2012-09-11",645.22,-0.00324410779491202,1433.56,0.00313488398130257,0.017
"2012-09-12",654.2,0.0139269440954297,1436.56,0.00209269231842413,0.0176
"2012-09-13",667.09,0.0196927395153705,1459.99,0.0163097956228768,0.0176
"2012-09-14",675.19,0.0121526252598905,1465.77,0.00395893122555635,0.0187
"2012-09-17",683.5,0.0122960305520194,1461.19,-0.0031246375625098,0.0184
"2012-09-18",685.58,0.00304381377004193,1459.32,-0.00127977881042174,0.0181
"2012-09-19",685.76,0.000270689974498195,1461.05,0.00118548364991922,0.0178
"2012-09-20",682.44,-0.00484261501210648,1460.26,-0.000540707025769138,0.0178
"2012-09-21",683.8,0.00198940890224697,1460.15,-7.53290509908355e-05,0.0176
"2012-09-24",674.71,-0.0132840063420419,1456.89,-0.00223264733075368,0.0172
"2012-09-25",657.87,-0.0249714095455927,1441.59,-0.0105018223750594,0.0168
"2012-09-26",649.7,-0.0124120319505895,1433.32,-0.00573672125916525,0.0162
"2012-09-27",665.46,0.0242641089629876,1447.15,0.00964892696676256,0.0164
"2012-09-28",651.58,-0.020871249926613,1440.67,-0.00447776664478461,0.0164
"2012-10-01",644.05,-0.0115574876330385,1444.49,0.00265154407324375,0.0162
"2012-10-02",645.92,0.00291178210163934,1445.75,0.00087228018193275,0.0162
